,0,p_value
1448366638,0.118853542,0.139713219
1448366653,0.152079691,0.0531953
1448366668,0.144717773,0.02969995
1448366683,0.147722396,0.054585374
1448366698,0.145792095,0.12697683
1448366713,0.169217315,0.23538137
1448366728,0.158096428,0.171956867
1448366743,0.182956,0.025479027
1448366758,0.239510942,0.045609247
1448366773,0.137299468,0.247209866
1448366788,0.047520072,0.46657996
1448366803,0.076199149,0.379152286
1448366818,0.180581591,0.135643289
1448366833,0.314349931,0.018121863
1448366848,0.312406491,0.006502522
1448366863,0.189259106,0.029889623
1448366878,0.102627035,0.298575741
1448366893,0.10128774,0.506863486
1448366908,0.128905132,0.31630622
1448366923,0.116296815,0.131886881
1448366938,0.104192663,0.099913708
1448366953,0.179041706,0.102590209
1448366968,0.192952212,0.232895537
1448366983,0.148795002,0.301006441
1448366998,0.153424436,0.301138374
1448367013,0.148577468,0.217214104
1448367028,0.13259423,0.172424412
1448367043,0.125266461,0.136765131
1448367058,0.132535343,0.294646507
1448367073,0.165932682,0.017453326
1448367088,0.235503474,0.108836555
1448367103,0.219811472,0.264930648
1448367118,0.148648915,0.318162537
1448367133,0.097636115,0.394429758
1448367148,0.107480391,0.201714253
1448367163,0.148792255,0.267529858
1448367178,0.123735977,0.147497075
1448367193,0.096653667,0.418463077
1448367208,0.074477088,0.546992517
1448367223,0.114663759,0.339465171
1448367238,0.224995644,0.164317585
1448367253,0.234473814,0.254211717
1448367268,0.173939285,0.287022005
1448367283,0.159432889,0.168346751
1448367298,0.177508187,0.08977106
1448367313,0.216410098,0.022713341
1448367328,0.213267995,0.022105852
1448367343,0.124682866,0.19078568
1448367358,0.063560388,0.557863069
1448367373,0.087237968,0.384677969
1448367388,0.163873196,0.523942272
1448367403,0.299786671,0.129366528
1448367418,0.330405456,0.055195514
1448367433,0.209477909,0.248939494
1448367448,0.121949613,0.323216158
1448367463,0.148961026,0.329368632
1448367478,0.208028851,0.450588937
1448367493,0.177357364,0.438944336
1448367508,0.135211744,0.257721953
1448367523,0.178991971,0.130911552
1448367538,0.336914477,0.089051574
1448367553,0.294972198,0.15940973
1448367568,0.131509738,0.057010343
1448367583,0.225613224,0.018334381
1448367598,0.466650546,0.005818158
1448367613,0.526470167,0.009301038
1448367628,0.313058541,0.008247573
1448367643,0.122718789,0.143581951
1448367658,0.039723756,0.530035923
1448367673,0.021728851,0.515787906
1448367688,0.096017355,0.223904865
1448367703,0.156798988,0.13578168
1448367718,0.100639887,0.096920807
1448367733,0.060376139,0.51171129
1448367748,0.066993921,0.524605984
1448367763,0.087768942,0.24877013
1448367778,0.126167661,0.363838661
1448367793,0.151413395,0.169425973
1448367808,0.191715486,0.293599785
1448367823,0.252193317,0.300448291
1448367838,0.249829008,0.240083058
1448367853,0.183318621,0.19276873
1448367868,0.154071083,0.196075409
1448367883,0.135147406,0.141430351
1448367898,0.156381382,0.169325655
1448367913,0.199756003,0.274120699
1448367928,0.180244332,0.129101041
1448367943,0.135389384,0.102365034
1448367958,0.096091682,0.286601722
1448367973,0.079474811,0.228126072
1448367988,0.151492485,0.143315866
1448368003,0.327644092,0.010303753
1448368018,0.484194814,0.005555398
1448368033,0.503760117,0.004303749
1448368048,0.437206745,0.004226631
1448368063,0.296476072,0.00925686
1448368078,0.224966469,0.001908369
1448368093,0.23691302,0.023408376
1448368108,0.192440255,0.135161959
1448368123,0.122117895,0.214677816
1448368138,0.052417359,0.472587719
1448368153,0.053036505,0.300395154
1448368168,0.0860076,0.42345034
1448368183,0.098225846,0.431619012
1448368198,0.129072892,0.059150178
1448368213,0.191408194,0.033047938
1448368228,0.207646974,0.03828018
1448368243,0.156519326,0.08121306
1448368258,0.14249154,0.104146101
1448368273,0.091314759,0.539197201
1448368288,0.01603573,0.300674464
1448368303,0,0.056680944
1448369297,0.048653396,0.468817402
1448369312,0.06989465,0.481257196
1448369327,0.094094968,0.505454313
1448369342,0.111141351,0.435484373
1448369357,0.131831365,0.201684905
1448369372,0.156965305,0.1160227
1448369387,0.161864882,0.055734877
1448369402,0.128163161,0.095686451
1448369417,0.100174836,0.219721646
1448369432,0.138661571,0.237011047
1448369447,0.178393216,0.158770513
1448369462,0.118726207,0.14990349
1448369477,0.071340856,0.423834678
1448369492,0.107313391,0.279349447
1448369507,0.173072473,0.174249219
1448369522,0.198950835,0.108068385
1448369537,0.147853912,0.238458186
1448369552,0.085217805,0.293850261
1448369567,0.044766153,0.434895003
1448369582,0.060944916,0.463064408
1448369597,0.127126542,0.43743136
1448369612,0.139332677,0.395321262
1448369627,0.167100068,0.356498169
1448369642,0.2884934,0.299064628
1448369657,0.316513579,0.084006841
1448369672,0.375564121,0.01128823
1448369687,0.449584497,0.001133826
1448369702,0.292875872,0.002258899
1448369717,0.121748765,0.036424417
1448369732,0.102321345,0.437806867
1448369747,0.077784621,0.477498565
1448369762,0.035294344,0.453114077
1448369777,0.093982824,0.166396845
1448369792,0.131726921,0.233632501
1448369807,0.067310174,0.443599656
1448369822,0.023741353,0.36130771
1448369837,0.043034388,0.473310242
1448369852,0.118550201,0.48227231
1448369867,0.130863281,0.363629469
1448369882,0.112456679,0.417452528
1448369897,0.143324186,0.472999639
1448369912,0.156464559,0.397581798
1448369927,0.129829069,0.473518563
1448369942,0.117164672,0.417387875
1448369957,0.193105876,0.183000156
1448369972,0.216455635,0.178407103
1448369987,0.147504575,0.327615539
1448370002,0.081601229,0.48913682
1448370017,0.0701887,0.333116771
1448370032,0.113056235,0.267679386
1448370047,0.137638921,0.265680095
1448370062,0.177205459,0.115785552
1448370077,0.337589877,0.050445076
1448370092,0.435580702,0.071908631
1448370107,0.285770663,0.066360027
1448370122,0.103054954,0.370008831
1448370137,0.061606466,0.320016794
1448370152,0.074512273,0.335470494
1448370167,0.100235564,0.200472274
1448370182,0.260199051,0.467746714
1448370197,0.431256368,0.421112481
1448370212,0.31427228,0.14368582
1448370227,0.126852019,0.06328421
1448370242,0.080558487,0.408206164
1448370257,0.051456628,0.396070412
1448370272,0.0522191,0.374562702
1448370287,0.118045983,0.47870563
1448370302,0.178273449,0.075326382
1448370317,0.242459908,0.017590638
1448370332,0.25046053,0.00130816
1448370347,0.273727028,0.0113377
1448370362,0.489688016,0.12682424
1448370377,0.478048746,0.483703521
1448370392,0.188153662,0.480564809
1448370407,0.070051358,0.442161191
1448370422,0.068702196,0.405322757
1448370437,0.033528465,0.445261921
1448370452,0.032364638,0.456983866
1448370467,0.147876411,0.078212783
1448370482,0.247538552,0.006955178
1448370497,0.252075051,0.019100151
1448370512,0.221204888,0.063194501
1448370527,0.149128487,0.12846626
1448370542,0.105881901,0.229978325
1448370557,0.107669982,0.191887692
1448370572,0.089422064,0.190616601
1448370587,0.133231192,0.403574781
1448370602,0.265919421,0.451111864
1448370617,0.31698339,0.343440478
1448370632,0.217474308,0.10564889
1448370647,0.149128014,0.08280531
1448370662,0.194974834,0.315907034
1448370677,0.19351342,0.382092628
1448370692,0.126397851,0.460043383
1448370707,0.055101765,0.228426072
1448370722,0.019889633,0.216121358
1448370737,0.012466553,0.191397862
1448370752,0.007539527,0.126946201
1448370767,0.017118838,0.239691598
1448370782,0.056791221,0.444345132
1448370797,0.107002024,0.462453463
1448370812,0.115961088,0.361402496
1448370827,0.102875596,0.423382985
1448370842,0.107985996,0.479618239
1448370857,0.127827013,0.503405857
1448370872,0.224344517,0.205761605
1448370887,0.4231954,0.142667972
1448370902,0.422735736,0.157972421
1448370917,0.315427379,0.012047668
1448370932,0.331412982,0.026100259
1448370947,0.257252934,0.028213426
1448370962,0.142867243,0.038269141
1448370977,0.134645844,0.19711756
1448370992,0.126165198,0.412220468
1448371007,0.078003994,0.123116215
1448371022,0.077891877,0.299641215
1448371037,0.096679988,0.232224941
1448371052,0.094841795,0.446586826
1448371067,0.094468045,0.391111943
1448371082,0.118424272,0.294668802
1448371097,0.130216189,0.207251031
1448371112,0.091668244,0.294133008
1448371127,0.06562518,0.208192565
1448371142,0.092128042,0.271160148
1448371157,0.112794815,0.019024226
1448371172,0.173552409,0.004064189
1448371187,0.20801564,0.006984083
1448371202,0.137304575,0.023283821
1448371217,0.105548595,0.202128304
1448371232,0.090480085,0.26242254
1448371247,0.107885979,0.117195199
1448371262,0.157547231,0.234640301
1448371277,0.180321512,0.108971318
1448371292,0.202004349,0.053026477
1448371307,0.255818435,0.013779434
1448371322,0.276246915,0.010056638
1448371337,0.271562818,0.004020162
1448371352,0.319309286,0.01307954
1448371367,0.291743061,0.02296376
1448371382,0.256311926,0.007625874
1448371397,0.194062351,0.023234214
1448371412,0.09181867,0.079719473
1448371427,0.11624366,0.178387737
1448371442,0.165267445,0.136168414
1448371457,0.136309789,0.060031049
1448371472,0.120278171,0.162895041
1448371487,0.109270709,0.443315364
1448371502,0.093095336,0.408646831
1448371517,0.173042613,0.409480628
1448371532,0.256087238,0.462272098
1448371547,0.294653817,0.455267827
1448371562,0.233159144,0.411865041
1448371577,0.092834665,0.446000091
1448371592,0.063683611,0.477938167
1448371607,0.073129424,0.457512684
1448371622,0.04925796,0.435625657
1448371637,0.036871821,0.441144199
1448371652,0.087894137,0.483511333
1448371667,0.145086083,0.353778078
1448371682,0.16876461,0.277203933
1448371697,0.189796784,0.030134222
1448371712,0.178602978,0.068711115
1448371727,0.19796633,0.099385649
1448371742,0.271999272,0.034036583
1448371757,0.271123736,0.135824918
1448371772,0.176337215,0.266485427
1448371787,0.085525849,0.449688828
1448371802,0.124563014,0.474725044
1448371817,0.261099921,0.460135202
1448371832,0.2870735,0.269184832
1448371847,0.182017573,0.262733488
1448371862,0.090546739,0.196370061
1448371877,0.101378551,0.253847703
1448371892,0.097040908,0.371460727
1448371907,0.04426476,0.334745493
1448371922,0.033912376,0.302916298
1448371937,0.056982766,0.330070413
1448371952,0.136479588,0.078860029
1448371967,0.266828799,0.034843852
1448371982,0.286419501,0.107638645
1448371997,0.163853523,0.111515305
1448372012,0.071192554,0.135446932
1448372027,0.06977941,0.156626244
1448372042,0.095742271,0.085700427
1448372057,0.112915123,0.046428458
1448372072,0.132409495,0.040247869
1448372087,0.141201755,0.020851722
1448372102,0.134279562,0.01696154
1448372117,0.148689801,0.030736841
1448372132,0.115392289,0.12663707
1448372147,0.039097789,0.439330255
1448372162,0.022391287,0.449222437
1448372177,0.065447211,0.45647213
1448372192,0.124564179,0.141143643
1448372207,0.16256011,0.063960431
1448372222,0.174903269,0.039232614
1448372237,0.242680337,0.012223405
1448372252,0.388417564,0.020372928
1448372267,0.455579947,0.009561095
1448372282,0.30274132,0.030993648
1448372297,0.131052697,0.017125316
1448372312,0.147088402,0.041684392
1448372327,0.216000033,0.115525326
1448372342,0.220225493,0.237070629
1448372357,0.139542671,0.094104668
1448372372,0.097898195,0.150211105
1448372387,0.114707984,0.421704643
1448372402,0.111818353,0.250596036
1448372417,0.135455558,0.269148888
1448372432,0.163537045,0.167307493
1448372447,0.118104306,0.254572229
1448372462,0.095050381,0.296718942
1448372477,0.15611225,0.328727187
1448372492,0.157102932,0.129853304
1448372507,0.176658803,0.045354786
1448372522,0.270549698,0.041482292
1448372537,0.233858501,0.015772804
1448372552,0.175281005,0.003077722
1448372567,0.193206779,0.005222319
1448372582,0.146009373,0.033836219
1448372597,0.097368404,0.076772275
1448372612,0.109104727,0.166628734
1448372627,0.179623912,0.401574919
1448372642,0.222881851,0.37515066
1448372657,0.17680674,0.304251449
1448372672,0.174343675,0.3948336
1448372687,0.150643971,0.407292105
1448372702,0.071539415,0.272111039
1448372717,0.066798492,0.390448213
1448372732,0.086614975,0.083209775
1448372747,0.179856368,0.025929857
1448372762,0.370246359,0.009166999
1448372777,0.49775931,0.00405846
1448372792,0.42123715,0.008687959
1448372807,0.419579183,0.012353273
1448372822,0.451435987,0.368448447
1448372837,0.205884728,0.483230914
1448372852,0.037974415,0.428503802
1448372867,0.06378473,0.469053011
1448372882,0.123995764,0.322036042
1448372897,0.24164135,0.136770865
1448372912,0.216065002,0.323036475
1448372927,0.064221764,0.4548201
1448372942,0.042364314,0.424491772
1448372957,0.059741403,0.441345771
1448372972,0.13054105,0.291296103
1448372987,0.286765915,0.127990134
1448373002,0.466640582,0.097279008
1448373017,0.519431097,0.089086958
1448373032,0.324722809,0.136755259
1448373047,0.122258321,0.093954528
1448373062,0.062596016,0.162867938
1448373077,0.108577147,0.174908609
1448373092,0.160750642,0.353168078
1448373107,0.117684543,0.103825546
1448373122,0.148989282,0.181238397
1448373137,0.180423755,0.403087245
1448373152,0.102087063,0.149931645
1448373167,0.110341051,0.2225451
