,0,p_value,relevant,trigger
1447845615,0.07242765073275942,0.2310754113566081,,OK; 
1447845630,0.11050581107515543,0.3354468336424495,,
1447845645,0.12576971898810105,0.20239338161576392,,
1447845660,0.0966355052358668,0.2491321690174369,,
1447845675,0.07499097054372217,0.3570604169897793,,
1447845690,0.06858652974650123,0.3966007778676417,,
1447845705,0.1085718969374104,0.39965395822473815,,
1447845720,0.16458567306154764,0.14917745895971907,,
1447845735,0.16428068053751724,0.12546384834746233,,
1447845750,0.2510500773743146,0.1547173560103678,,
1447845765,0.4350636893001677,0.23731988361551984,,
1447845780,0.4655409756597368,0.39944091492641387,,
1447845795,0.3369187201340693,0.2525371377638332,,
1447845810,0.24799842706780315,0.10590806995913804,,
1447845825,0.1838180227338796,0.03493208524510226,True,
1447845840,0.1452183848171001,0.06178799411003341,,
1447845855,0.16098898663094355,0.0997991785651671,,
1447845870,0.16477652481369592,0.08361908322047817,,
1447845885,0.1527958083582064,0.06363006408190001,,
1447845900,0.15437834877963832,0.07877730219025768,,
1447845915,0.1848250345304938,0.02906698083743332,True,
1447845930,0.2674029567429217,0.01211499452121284,True,
1447845945,0.2988584796825469,0.010314753713191415,True,
1447845960,0.21806283336698146,0.017009775605782238,True,
1447845975,0.14923306528114907,0.05872251466507776,,
1447845990,0.11563790978689956,0.06951163503067362,,
1447846005,0.10201161009457492,0.3639922187215881,,
1447846020,0.08470384278836998,0.35821633954034,,OK; 
1447846035,0.0953499557955225,0.3371835502045429,,
1447846050,0.1057678642427198,0.2264700115934173,,
1447846065,0.13030633643031378,0.3531498772612265,,
1447846080,0.1941432903358144,0.1929102185404847,,
1447846095,0.17806930374817614,0.07385301031354659,,
1447846110,0.15041606373746888,0.17629757972231827,,
1447846125,0.1247992462903559,0.12496305264478692,,
1447846140,0.11250295011671946,0.21693805874095085,,
1447846155,0.16294473728254152,0.2687792160474451,,
1447846170,0.30828049578589073,0.0934410535173897,,
1447846185,0.43720475281954496,0.0424868699247094,True,
1447846200,0.369778028028637,0.010293188335682857,True,
1447846215,0.2766969272986233,0.034129609309202114,True,
1447846230,0.3074485147628717,0.037708982701244134,True,
1447846245,0.31111361452339364,0.051288193463720544,,OK; 
1447846260,0.2404038043867969,0.041582413160841325,True,
1447846275,0.2186714859719412,0.05421677609271836,,
1447846290,0.1884725856438005,0.08211392107014337,,
1447846305,0.18242222229601351,0.06656104222825418,,
1447846320,0.1707726180603312,0.06539425559010639,,
1447846335,0.10097316245277532,0.12700508211062114,,
1447846350,0.08112330826571366,0.33254536612784313,,
1447846365,0.08561132525660202,0.3605229854627195,,
