,0,p_value
1448452975,0.285310163,0.032383421
1448452990,0.283781037,0.004099113
1448453005,0.298084469,0.002396116
1448453020,0.317166771,0.003302949
1448453035,0.274743055,0.009879314
1448453050,0.262805607,0.000673874
1448453065,0.333164698,0.003359143
1448453080,0.36177075,0.013844275
1448453095,0.350414371,0.001343645
1448453110,0.394476474,0.002785666
1448453125,0.34796223,0.000678948
1448453140,0.304508701,0.001055084
1448453155,0.336971333,0.000764768
1448453170,0.239822827,0.002510109
1448453185,0.11763545,0.049174433
1448453200,0.089543622,0.117126704
1448453215,0.178034534,0.148888721
1448453230,0.251437765,0.032404466
1448453245,0.163113828,0.044874852
1448453260,0.12453533,0.119913049
1448453275,0.254432251,0.103602636
1448453290,0.331286938,0.107672047
1448453305,0.309711344,0.007945737
1448453320,0.249607831,0.016300912
1448453335,0.186609638,0.019554257
1448453350,0.142904001,0.041313512
1448453365,0.144608373,0.093599795
1448453380,0.366197795,0.003512848
1448453395,0.634570672,0.000243584
1448453410,0.565954533,2.56E-05
1448453425,0.348843286,2.25E-05
1448453440,0.315208406,0.005074329
1448453455,0.250734751,0.02859722
1448453470,0.124394542,0.027899716
1448453485,0.120645827,0.238409696
1448453500,0.121723645,0.244621972
1448453515,0.072916944,0.212834974
1448453530,0.039137382,0.167210966
1448453545,0.034697646,0.123330972
1448453560,0.041222532,0.140799864
1448453575,0.040336391,0.179380541
1448453590,0.057831545,0.241189565
1448453605,0.092428489,0.235133123
1448453620,0.087956877,0.201142252
1448453635,0.118780397,0.121044216
1448453650,0.219460839,0.189281583
1448453665,0.272184283,0.135896015
1448453680,0.253367006,0.186543023
1448453695,0.200999628,0.085600466
1448453710,0.145977354,0.063482235
1448453725,0.105428869,0.041072959
1448453740,0.121091619,0.05031626
1448453755,0.170069593,0.105855078
1448453770,0.140415392,0.063757413
1448453785,0.136587317,0.032804575
1448453800,0.323837382,0.010351876
1448453815,0.511812535,0.010849595
1448453830,0.479771623,0.006290594
1448453845,0.350749845,0.009251865
1448453860,0.278773571,0.005973344
1448453875,0.202305926,0.004757552
1448453890,0.158887272,0.00311362
1448453905,0.215232364,0.033442627
1448453920,0.219420172,0.025533176
1448453935,0.159347023,0.033925164
1448453950,0.219818471,0.006939004
1448453965,0.333582935,0.004019946
1448453980,0.258633565,0.006427347
1448453995,0.137448968,0.015634279
1448454010,0.140954894,0.033732977
1448454025,0.193562669,0.006019053
1448454040,0.267314537,0.011794561
1448454055,0.254812972,0.029178787
1448454070,0.179590501,0.007618719
1448454085,0.161809225,0.003014504
1448454100,0.158715837,0.008559954
1448454115,0.176629079,0.003580759
1448454130,0.227763604,0.038750153
1448454145,0.260567498,0.024176494
1448454160,0.285926095,0.02541147
1448454175,0.285388219,0.020110751
1448454190,0.25396387,0.002174721
1448454205,0.196294774,0.010262608
1448454220,0.114131489,0.178488797
1448454235,0.067378386,0.205555379
1448454250,0.088510569,0.119994149
1448454265,0.157972848,0.019373696
1448454280,0.206139824,0.004520709
1448454295,0.199556638,0.00718486
1448454310,0.250722551,0.019184094
1448454325,0.31121177,0.037700274
1448454340,0.230666149,0.026701686
1448454355,0.167898879,0.083216103
1448454370,0.152942128,0.050013834
1448454385,0.136888307,0.004300234
1448454400,0.196162944,0.004525452
1448454415,0.235925155,0.002438431
1448454430,0.183468164,0.005017564
1448454445,0.133420678,0.041935983
1448454460,0.203292834,0.019143633
1448454475,0.245993097,0.022342607
1448454490,0.164448233,0.059626723
1448454505,0.093994419,0.228096839
1448454520,0.155877607,0.014433608
1448454535,0.311927341,0.007250381
1448454550,0.30668151,0.004623736
1448454565,0.226778702,0.000850807
