,0,p_value
1448452975,0.078975015,0.133016688
1448452990,0.149388798,0.116834413
1448453005,0.152136487,0.088816557
1448453020,0.151875161,0.157843307
1448453035,0.200691643,0.214515735
1448453050,0.164433411,0.090161361
1448453065,0.101977794,0.184673536
1448453080,0.128062747,0.280425795
1448453095,0.180783872,0.091888944
1448453110,0.166257009,0.108827239
1448453125,0.131402482,0.066698612
1448453140,0.185983156,0.11840362
1448453155,0.267215071,0.022285713
1448453170,0.248002451,0.008777123
1448453185,0.18685935,0.068225361
1448453200,0.106599266,0.324011821
1448453215,0.055814503,0.51274986
1448453230,0.083395843,0.441944947
1448453245,0.101468071,0.22093778
1448453260,0.085176764,0.445580352
1448453275,0.046111751,0.49103063
1448453290,0.07554709,0.389050347
1448453305,0.167784562,0.487245346
1448453320,0.15381956,0.462208664
1448453335,0.113222178,0.251778352
1448453350,0.121757245,0.109913623
1448453365,0.148659967,0.125607656
1448453380,0.213745046,0.173024608
1448453395,0.212981119,0.251718021
1448453410,0.159491318,0.037264043
1448453425,0.172352917,0.090439718
1448453440,0.268249792,0.125106146
1448453455,0.257154688,0.229546902
1448453470,0.125873469,0.143960588
1448453485,0.057962928,0.450206566
1448453500,0.043419189,0.482445717
1448453515,0.054870764,0.496788817
1448453530,0.07133181,0.505647106
1448453545,0.063576986,0.508420132
1448453560,0.056474639,0.490872213
1448453575,0.056128616,0.372582604
1448453590,0.052179993,0.511716417
1448453605,0.060497793,0.515934228
1448453620,0.071725457,0.526496638
1448453635,0.107045616,0.52269067
1448453650,0.137215676,0.399379376
1448453665,0.125767703,0.265289263
1448453680,0.136320389,0.232303101
1448453695,0.139406168,0.41328174
1448453710,0.083838314,0.475644994
1448453725,0.044100298,0.502236722
1448453740,0.040057782,0.501054168
1448453755,0.076310372,0.438386402
1448453770,0.120842472,0.416771426
1448453785,0.106416051,0.212957831
1448453800,0.140005368,0.107424014
1448453815,0.305430295,0.150143181
1448453830,0.383969389,0.172340111
1448453845,0.278668688,0.059172593
1448453860,0.208877318,0.043995499
1448453875,0.165974899,0.057480484
1448453890,0.094889684,0.14450766
1448453905,0.071332447,0.350605381
1448453920,0.086046116,0.268717689
1448453935,0.109556974,0.261063769
1448453950,0.232498141,0.073169052
1448453965,0.379545055,0.021376455
1448453980,0.296394088,0.01966654
1448453995,0.125369267,0.027934499
1448454010,0.075260422,0.112195746
1448454025,0.129671525,0.218404354
1448454040,0.168109298,0.346715536
1448454055,0.085054483,0.405637514
1448454070,0.034334758,0.468202379
1448454085,0.053499791,0.319224723
1448454100,0.078946036,0.163316092
1448454115,0.115627697,0.058673004
1448454130,0.164339213,0.12079877
1448454145,0.24776089,0.18899628
1448454160,0.294467577,0.163999456
1448454175,0.288648252,0.211913495
1448454190,0.263877479,0.035918903
1448454205,0.212144662,0.036622475
1448454220,0.120068122,0.142957478
1448454235,0.04984984,0.426539792
1448454250,0.073007209,0.510610944
1448454265,0.103150831,0.317918151
1448454280,0.096826629,0.087371449
1448454295,0.109842215,0.167924978
1448454310,0.152190212,0.195276241
1448454325,0.158120081,0.302971672
1448454340,0.101064447,0.235844096
1448454355,0.097336436,0.290719803
1448454370,0.130010282,0.205374455
1448454385,0.13119277,0.053530796
1448454400,0.149048418,0.013389756
1448454415,0.153653246,0.02723831
1448454430,0.105303761,0.222413214
1448454445,0.066533567,0.425137458
1448454460,0.125120435,0.241074962
1448454475,0.159117873,0.193319794
1448454490,0.125560495,0.150205333
1448454505,0.097553398,0.412632229
1448454520,0.084716288,0.124004342
1448454535,0.098929335,0.091514042
1448454550,0.094853802,0.047602204
1448454565,0.132911119,0.136153834
1448454580,0.185735264,0.190122717
1448454595,0.188009835,0.080713324
1448454610,0.100598317,0.185160788
1448454625,0.015081573,0.154850618
1448454640,0,0.04609657
1448455721,0.058361472,0.400003595
1448455736,0.051629381,0.208466217
1448455751,0.106756745,0.070573156
1448455766,0.137771542,0.092673037
1448455781,0.105949589,0.066311587
1448455796,0.07406327,0.043540291
1448455811,0.082235626,0.011314137
1448455826,0.081162824,0.036992141
1448455841,0.039843403,0.169777639
1448455856,0.064833705,0.395010299
1448455871,0.106274169,0.272314426
1448455886,0.068526736,0.282135446
1448455901,0.027632332,0.365044503
1448455916,0.029302351,0.425185863
1448455931,0.027930967,0.345746172
1448455946,0.038961683,0.398794858
1448455961,0.037180441,0.440847592
1448455976,0.02289304,0.420661224
1448455991,0.024306596,0.38551846
1448456006,0.025265059,0.411507134
1448456021,0.038189463,0.416974942
1448456036,0.058249256,0.419827797
1448456051,0.05934346,0.232909348
1448456066,0.090571748,0.163708954
1448456081,0.130995001,0.03857868
1448456096,0.241117701,0.012406231
1448456111,0.318711201,0.001336183
1448456126,0.200670499,0.005829854
1448456141,0.108514265,0.046460369
1448456156,0.101592063,0.045678098
1448456171,0.074196905,0.147319488
1448456186,0.051519128,0.437867337
1448456201,0.049411215,0.415745812
1448456216,0.038547481,0.418307745
1448456231,0.023879884,0.415460453
1448456246,0.02701481,0.408037056
1448456261,0.046157326,0.420487325
1448456276,0.061737173,0.419127445
1448456291,0.047575677,0.372204032
1448456306,0.03072135,0.337922852
1448456321,0.041559329,0.415578906
1448456336,0.07779974,0.351247148
1448456351,0.115970481,0.360069616
1448456366,0.098377416,0.359208209
1448456381,0.070054137,0.228920761
1448456396,0.05172972,0.38765794
1448456411,0.022712236,0.411871264
1448456426,0.012648809,0.195205937
1448456441,0.018862276,0.417887606
1448456456,0.036534175,0.325566908
1448456471,0.062679787,0.262262927
1448456486,0.106688011,0.07813111
1448456501,0.146645045,0.025837083
1448456516,0.131335524,0.02044361
1448456531,0.107502334,0.030836239
1448456546,0.131948647,0.035147887
1448456561,0.145160631,0.019018668
1448456576,0.10599523,0.046037902
1448456591,0.081397302,0.229913962
1448456606,0.08143652,0.27049035
1448456621,0.055094929,0.336634534
1448456636,0.040112921,0.126750632
1448456651,0.067567348,0.112154056
1448456666,0.083625306,0.327859686
1448456681,0.066728802,0.248594561
1448456696,0.046942982,0.234634622
1448456711,0.032226603,0.397923119
1448456726,0.052222582,0.129573453
1448456741,0.1619625,0.011745512
1448456756,0.220288379,0.004730634
1448456771,0.183522048,0.025242637
1448456786,0.20149647,0.3141354
1448456801,0.180138163,0.399743561
1448456816,0.076623106,0.395932234
1448456831,0.033002816,0.334185406
1448456846,0.043695489,0.400970906
1448456861,0.046588891,0.395597963
1448456876,0.116230609,0.043557501
1448456891,0.23958438,0.012292224
1448456906,0.255137717,0.005752539
1448456921,0.145935889,0.053023851
1448456936,0.068373481,0.37895271
1448456951,0.053825516,0.28124238
1448456966,0.063748615,0.086605376
1448456981,0.087661029,0.070356956
1448456996,0.064115902,0.121605886
1448457011,0.024258586,0.300148909
1448457026,0.029061515,0.411902084
1448457041,0.05048777,0.394312519
1448457056,0.075000844,0.124669289
1448457071,0.089684233,0.062972497
1448457086,0.110988157,0.186384606
1448457101,0.106067638,0.182102022
1448457116,0.053371758,0.306392359
1448457131,0.020440599,0.341749673
1448457146,0.012784129,0.22427251
1448457161,0.025830267,0.374077531
1448457176,0.0443611,0.371206541
1448457191,0.045503156,0.390351527
1448457206,0.051579858,0.377707516
1448457221,0.067146128,0.196358193
1448457236,0.067960951,0.055994567
1448457251,0.071472571,0.274563647
1448457266,0.061239989,0.394856018
1448457281,0.040839439,0.401642252
1448457296,0.031810766,0.376480764
1448457311,0.036105065,0.226647299
