,0,p_value
1448450170,0.215707956,0.907318782
1448450185,0.190786025,0.907318782
1448450200,0.095893723,0.221276805
1448450215,0.097441383,0.907318782
1448450230,0.107315267,0.230705036
1448450245,0.048111448,2.319136256
1448450260,0.006283495,2.521538181
1448450275,0.010196969,2.023325899
1448450290,0.004873179,2.28143035
1448450305,0.000166886,1.214064757
1448450320,0.016874915,2.319136256
1448450335,0.039632458,2.319136256
1448450350,0.123008599,0.93100054
1448450365,0.159811084,0.907318782
1448450380,0.068556209,0.395268562
1448450395,0.022566664,0.448636974
1448450410,0.068982972,1.065543768
1448450425,0.095242425,0.907318782
1448450440,0.047242348,1.761032564
1448450455,0.029819805,0.91807305
1448450470,0.039951139,0.907318782
1448450485,0.044751477,0.93100054
1448450500,0.045400747,1.738629872
1448450515,0.102516558,0.907318782
1448450530,0.18200385,0.907318782
1448450545,0.129399522,1.003327688
1448450560,0.061917928,2.319136256
1448450575,0.064166545,2.322064373
1448450590,0.096786266,0.710643292
1448450605,0.153257261,0.907318782
1448450620,0.137367271,0.907318782
1448450635,0.108100772,0.74913478
1448450650,0.071357848,2.503313408
1448450665,0.010784196,2.503313408
1448450680,0.007775317,2.454896648
1448450695,0.011115613,1.559746269
1448450710,0.005627528,1.816937193
1448450725,0.001861995,2.300319755
1448450740,0.001480087,2.244136041
1448450755,0.016627343,2.104940604
1448450770,0.022386637,1.371021981
1448450785,0.011179522,1.877727732
1448450800,0.017245673,0.108733002
1448450815,0.036147083,0.074108727
1448450830,0.038898728,0.217300686
1448450845,0.018742742,2.454896648
1448450860,0.005759282,1.561938982
1448450875,0.004172452,1.852603701
1448450890,0.001857519,2.380378749
1448450905,0.003060766,2.439686965
1448450920,0.003912117,2.164002773
1448450935,0.001863063,2.203458816
1448450950,0.000949197,2.244872513
1448450965,0.025596038,1.996205352
1448450980,0.026994009,1.594188214
1448450995,0.002674039,1.672673269
1448451010,0.004095701,2.194614015
1448451025,0.006583914,1.822069948
1448451040,0.010301984,1.637223137
1448451055,0.018253977,0.505378451
1448451070,0.011874959,0.498104032
1448451085,0.001313838,2.173297048
1448451100,0.00255868,2.129874995
1448451115,0.008153346,1.782388711
1448451130,0.007248947,1.930076357
1448451145,0.007713142,0.549479155
1448451160,0.02494199,0.281230419
1448451175,0.022881345,0.247682373
1448451190,0.011537839,1.621412108
1448451205,0.013597942,1.408173634
1448451220,0.017192878,1.129663988
1448451235,0.030748014,0.130977184
1448451250,0.029060506,0.499854447
1448451265,0.012243125,0.253056046
1448451280,0.015785084,0.680094478
1448451295,0.026189009,1.46744488
1448451310,0.075787964,0.569848655
1448451325,0.228174894,0.234736938
1448451340,0.344464653,0.359724546
1448451355,0.280029913,0.151952291
1448451370,0.14431385,0.104956074
1448451385,0.062238367,0.351415426
1448451400,0.034336966,0.526373015
1448451415,0.019879079,0.342264499
1448451430,0.013089397,0.715970525
1448451445,0.030561247,0.467400145
1448451460,0.037192579,0.638749551
1448451475,0.023855376,0.964462136
1448451490,0.013808164,1.486812249
1448451505,0.00705813,1.349228001
1448451520,0.003026964,2.10672551
1448451535,0.004740147,1.682657995
1448451550,0.030133717,0.104575938
1448451565,0.235153326,0.098197988
1448451580,0.512818472,0.056286764
1448451595,0.443087692,0.071701775
1448451610,0.180498047,0.071701775
1448451625,0.068860284,0.174823982
1448451640,0.065047288,0.536763759
1448451655,0.070981503,0.322772457
1448451670,0.063792038,1.039936936
1448451685,0.058696688,1.192264522
1448451700,0.068777252,1.722337179
1448451715,0.081747444,0.533107552
1448451730,0.184969367,0.499854447
1448451745,0.226587721,0.431269227
1448451760,0.099159716,0.491269816
1448451775,0.029153518,1.706044486
1448451790,0.024647678,1.607052398
1448451805,0.025714911,1.192264522
1448451820,0.05310729,1.320919158
1448451835,0.039751814,2.437263087
1448451850,0.001908168,2.266107816
1448451865,0.001107615,2.114890715
1448451880,0.005814888,2.454896648
1448451895,0.029181952,2.35363495
1448451910,0.048529139,1.432066149
1448451925,0.045499956,1.360340401
1448451940,0.027985217,2.454896648
1448451955,0.008664927,1.728056057
1448451970,0.001648103,2.341257393
1448451985,0.001233026,2.228251243
1448452000,0.006953523,2.454896648
1448452015,0.014051808,2.216311241
1448452030,0.044057961,2.488849623
1448452045,0.056210306,2.37369477
1448452060,0.02697995,2.37369477
1448452075,0.009459505,1.460599377
1448452090,0.013474639,0.607917348
1448452105,0.012230508,0.792784001
1448452120,0.003642453,1.777025866
1448452135,0.01079213,0.880382858
1448452150,0.063710629,0.615036383
1448452165,0.15248376,0.460982999
1448452180,0.120421396,0.126545739
1448452195,0.063400019,0.129225843
1448452210,0.19562511,0.555756338
1448452225,0.326075664,0.427685239
1448452240,0.206207815,0.585299
1448452255,0.037448675,0.571190832
1448452270,0.005351558,2.27358317
1448452285,0.023736047,1.722337179
1448452300,0.048999827,1.432066149
1448452315,0.043891322,1.432066149
1448452330,0.016965473,1.621412108
1448452345,0.002006268,2.344996768
1448452360,0.001930189,2.389013621
1448452375,0.013344415,1.26356103
1448452390,0.016813946,1.518680833
1448452405,0.005170278,1.953913677
1448452420,0.000834662,2.07823391
1448452435,0.026859691,1.129817447
1448452450,0.14673909,0.608641884
1448452465,0.248301092,0.369316781
1448452480,0.174127664,0.806335737
1448452495,0.05120998,1.562800705
1448452510,0.00516075,1.645631762
1448452525,0.038165004,2.503313408
1448452540,0.114523634,1.943105285
1448452555,0.095687474,1.447236744
1448452570,0.02355062,0.466146848
1448452585,0.027794451,1.080196453
1448452600,0.084984668,0.221276805
1448452615,0.131693102,0.225181031
1448452630,0.072037982,0.91807305
1448452645,0.002147104,2.164797406
1448452660,0.00835367,2.023325899
1448452675,0.028551512,2.023325899
1448452690,0.036631381,2.319136256
1448452705,0.01643354,2.430414316
1448452720,0.042097996,2.023325899
1448452735,0.129861049,1.668052209
1448452750,0.140666918,1.179158086
1448452765,0.058044523,0.502214602
1448452780,0.0437957,0.972985477
1448452795,0.087081123,1.432066149
1448452810,0.070435709,0.328296462
1448452825,0.130527892,0.349819576
1448452840,0.147757879,0.51194933
1448452855,0.041430943,0.604003042
1448452870,0.002550847,2.386435056
1448452885,0.005629028,1.080602623
1448452900,0.035026683,1.268885431
1448452915,0.055419235,0.817062529
1448452930,0.054482348,0.086857474
1448452945,0.088324541,0.072506708
1448452960,0.134306977,0.063887
1448452975,0.129822554,0.442317236
1448452990,0.090187767,0.907318782
1448453005,0.110197055,0.221276805
1448453020,0.260894491,0.28101399
1448453035,0.352690555,0.907318782
1448453050,0.214697065,0.448888116
1448453065,0.094318518,0.221276805
1448453080,0.095164721,0.907318782
1448453095,0.067109418,0.907318782
1448453110,0.02769247,2.319136256
1448453125,0.053690593,1.003327688
1448453140,0.18263616,0.907318782
1448453155,0.265458985,0.033568736
1448453170,0.170575033,0.248299419
1448453185,0.071599905,0.566055316
1448453200,0.030119669,2.319136256
1448453215,0.002862995,1.957279424
1448453230,0.008735684,2.337245224
1448453245,0.036129454,0.979645929
1448453260,0.064839206,2.319136256
1448453275,0.045703487,2.319136256
1448453290,0.01368149,1.080196453
1448453305,0.025648818,1.080196453
1448453320,0.04886779,0.907318782
1448453335,0.071260681,0.907318782
1448453350,0.075514227,1.053559771
1448453365,0.180206166,1.434130309
1448453380,0.322850673,1.26356103
1448453395,0.264476286,1.039936936
1448453410,0.107086844,0.283427604
1448453425,0.073768801,1.101704989
1448453440,0.21883237,1.090950721
1448453455,0.239134713,1.330720537
1448453470,0.079018432,1.306066595
1448453485,0.024586933,2.319136256
1448453500,0.089172325,2.319136256
1448453515,0.089430228,2.337361029
1448453530,0.026229328,2.023325899
1448453545,0.030390053,2.023325899
1448453560,0.129946395,2.337361029
1448453575,0.326098169,0.907318782
1448453590,0.350354682,0.907318782
